sample-id	faith_pd
A1-3	1.6420703947535715
A10-2	2.8951895815080624
A11-2	3.3084694290035803
A12-1	3.475109065908898
A13-6	5.048797227253537
A14	2.4062699181353047
A15-1	2.9239164365518198
A16-5	1.2755341774255968
A17-8	1.3850600783007812
A2-2	1.480281652171914
A21-9	3.1913804842194593
A23-4	1.9267003297525993
A25-4	3.0932175859700703
A26-3	1.891393764540521
A29-6	0.9520673040412451
A3-1	1.8592714475800758
A30-10	1.320563683930633
A31	1.4325963514476694
A36	3.605028598082457
A37-7	1.7630960312433794
A39-2	1.7584485310694085
A4-5	1.3372031562839126
A40-2	1.2244299606880427
A41-2	2.2560277586445974
A42-3	1.1409425156885673
A43-3	1.658122718636192
A44-5	1.331882613448553
A45-1	1.6825305905069055
A47-3	2.011518481512952
A48	2.503990546432802
A49-8	1.6462036464108882
A5-3	2.25305133281417
A6-1	2.490930906006702
A7-1	1.5173183081066752
A8	2.455617026902134
A9-1	3.385698134141632
FL-1	2.3630671159648844
FL-11	1.6760612522824836
FL-13	3.591753661909277
FL-14	2.191708104099043
FL-15	2.5581381087215127
FL-16	1.4556171476951292
FL-17	2.6623675018468753
FL-18	2.400991745261836
FL-19	3.0235631970539707
FL-2	2.4389191967138046
FL-20	3.77171672456753
FL-21	2.1662486320460097
FL-22	3.6920061814611413
FL-23	5.139166531207408
FL-24	5.149586564099657
FL-25	4.631022610966751
FL-26	1.984430423366236
FL-27	5.892215516687484
FL-3	1.3125034369057298
FL-4	1.1492644509995271
FL-5	2.4392374785263176
FL-6	1.1246395066783763
FL-8	3.472536768034461
FL-9	2.384573196867994
H102-3	1.8513146649746308
H105-1	1.8995264606526807
H106_2	1.442665355826584
H107-1	1.8671242336416296
H108_1	2.8222349549518135
H110-1	2.9002937174118193
H114-2	2.20346983176831
H115_2	2.4732708036485636
H124-1	2.779049979194242
H129-2	1.742208764383026
H136_2	1.4609100256166547
H162_2	1.6118797342565427
H173-4	2.332005767593558
H174-4	2.0079044474507173
H176_4	2.2197218509136496
H181-2	2.0430774649873427
H182-4	1.8935325976438024
H183-4	1.5049290300968239
H184-4	1.4361508673458698
H186-4	1.780735721774489
H187-4	2.007532527463956
H188-4	1.6650135558321097
H189-4	1.9998266290920066
H190-4	1.5110906030612625
H192-4	1.2770100039134733
H193-2	1.277531355774848
H194_2	1.560803642826126
H200-4	1.7647757476071657
H203-4	1.6777102045766585
H204-4	1.552752538570445
H205_4	1.8201371449371173
H214-2	1.7328488755207254
H215-4	1.1938780265724507
H216-2	1.67529691913865
H217-4	2.555175997533254
H218-2	1.86799997540002
H220-4	1.953194451693952
H221-4	2.5549215444573337
H222-4	4.806136852846954
H223-4	3.1859505399338444
H226-4	2.7596788605665195
H227-4	6.009146999924887
H228-4	4.988691188300901
H229-5	5.18022927162176
H230-6	2.696640769552728
H32_1	1.6856472456980378
H32-2	1.8221315627080354
H36	2.002416740915831
H37_1	1.63878531087905
H49	0.8180524132151326
H50-1	3.485954069397319
H51-1	1.5011604123380256
H55-1	2.1240283801431183
H97-6	2.027488100105116
L1-1	1.4903760668860122
L11-4	1.9392782141852827
L12-3	2.5287354350708307
L13-1	2.0112418671245855
L14-1	1.464598332758341
L15-1	1.734499347766676
L16-3	1.0002388461721976
L17-2	1.3227528217010454
L18-2	0.6662245182201012
L19-2	0.8998832172826017
L19-4	1.2952666943478905
L20-3	1.6355234871819464
L22-4	1.7761541407706436
L23-1	1.731084797092799
L23-3	3.5919102543437593
