sample-id	shannon_entropy
A1-2	1.789929075309999
A1-3	-0.0
A10-1	2.0403733936884962
A10-2	-0.0
A12-1	-0.0
A13-6	2.299896391167891
A14	0.43949698692151334
A15-1	0.6840384356390417
A15-8	-0.0
A17-8	1.2406705316766884
A2-2	0.9456603046006401
A21-9	-0.0
A30-10	1.8585552118703144
A34-4	-0.0
A36	0.6840384356390417
A37-7	1.4949188482339508
A4-5	1.0957952550009338
A40-2	1.0957952550009338
A43-3	-0.0
A44-5	1.4949188482339508
A46-6	0.9456603046006401
A6-1	1.789929075309999
A7-1	1.4911148500551858
A8	1.0957952550009338
A9-1	1.5726236638951638
FL-1	1.6729330318733677
FL-10	-0.0
FL-12	1.8676338909712122
FL-13	2.663532754804255
FL-14	1.2406705316766884
FL-15	1.0957952550009338
FL-17	2.0403733936884962
FL-18	1.4353713907745334
FL-20	2.913977073182752
FL-21	0.43949698692151334
FL-22	2.6635327548042547
FL-23	3.4594316186372978
FL-24	3.095795255000934
FL-25	3.0271691184406184
FL-27	1.6858157091530304
FL-3	1.0957952550009338
FL-5	0.6840384356390417
FL-6	2.0403733936884962
FL-7	0.6840384356390417
FL-8	0.6840384356390417
FL-9	1.8230679822736613
H115-2	-0.0
H124-2	-0.0
H134-2	-0.0
H146-2	0.8453509366224364
H164-2	-0.0
H174-4	2.1180782093497093
H176-4	-0.0
H183-4	0.9456603046006401
H184-4	0.6840384356390417
H194-2	1.6767370300521327
H200-4	1.4353713907745331
H218-2	-0.0
H220-4	1.6767370300521327
H224-4	0.43949698692151334
H225-4	0.9456603046006401
H226-4	0.9456603046006401
H227-4	2.2221915755066783
H45-1	-0.0
H49	-0.0
H50-1	2.16264411804726
L12-3	0.43949698692151334
L15-1	1.4353713907745334
L23-2	-0.0
L23-3	1.0957952550009338
