sample-id	shannon_entropy
A1-2	1.4949188482339508
A1-3	-0.0
A10-1	2.3685225277282065
A10-2	-0.0
A12-1	-0.0
A13-6	2.40400975732486
A14	0.6840384356390417
A15-1	1.2776134368191157
A15-8	-0.0
A17-8	1.0957952550009338
A2-2	0.6840384356390417
A21-9	-0.0
A30-10	1.7899290753099995
A34-4	0.43949698692151334
A36	0.43949698692151334
A37-7	0.9456603046006401
A4-5	1.0957952550009338
A40-2	0.43949698692151334
A43-3	-0.0
A44-5	1.3221793455166666
A46-6	1.4353713907745334
A6-1	1.3221793455166666
A7-1	1.4911148500551858
A8	0.6840384356390417
A9-1	1.4353713907745334
FL-1	1.2406705316766884
FL-10	0.43949698692151334
FL-12	2.2312702546075758
FL-13	1.8230679822736613
FL-14	1.9808259362290785
FL-15	0.8658566174572236
FL-17	2.0403733936884962
FL-18	1.0957952550009338
FL-20	2.5503407095463886
FL-21	0.6840384356390417
FL-22	2.8453509366224368
FL-23	2.913977073182752
FL-24	3.277613436819116
FL-25	3.4594316186372978
FL-27	2.0048861640918427
FL-3	0.8658566174572236
FL-5	0.6840384356390417
FL-6	1.4353713907745331
FL-7	-0.0
FL-8	0.8658566174572236
FL-9	1.867633890971212
H115-2	-0.0
H124-2	-0.0
H128	-0.0
H130-2	0.6840384356390417
H134-2	-0.0
H146-2	0.9940302114769566
H164-2	-0.0
H174-4	1.789929075309999
H176-4	-0.0
H183-4	0.8453509366224364
H184-4	0.6840384356390417
H194-2	1.6767370300521327
H200-4	1.3092966682370037
H218-2	-0.0
H220-4	1.8676338909712122
H224-4	0.6840384356390417
H225-4	0.6840384356390417
H226-4	0.8453509366224364
H227-4	2.5503407095463886
H45-1	-0.0
H49	0.6840384356390417
H50-1	2.0494520727893946
L12-3	0.43949698692151334
L15-1	1.2406705316766884
L23-2	-0.0
L23-3	1.309296668237004
