sample-id	faith_pd
A1-2	1.2957267234262893
A1-3	0.6331306736624884
A10-1	2.64655523787913
A10-2	0.5150635358643125
A12-1	0.5934769672981548
A13-6	2.255806674393551
A14	0.8879602259082042
A15-1	0.5887799303452907
A15-8	0.5452182516221296
A17-8	1.5671392768142542
A2-2	1.2101121652928435
A21-9	0.6769384248065
A30-10	1.5815351897090504
A34-4	1.2612937578057193
A36	0.5895436728430234
A37-7	1.4872404375576922
A4-5	1.150475742615336
A40-2	1.1748830090333962
A43-3	0.8367874390502714
A44-5	2.0793813774010674
A46-6	2.309508169954338
A6-1	1.252803956297929
A7-1	1.8595919784329662
A8	1.2272188556146215
A9-1	1.646585623489151
FL-1	1.3707681811354546
FL-10	0.8804970059892332
FL-12	2.687304693791829
FL-13	2.4758860065715895
FL-14	2.1629892569253357
FL-15	1.57988775704266
FL-17	1.432025026849979
FL-18	1.1988686713098633
FL-20	3.7854071893016012
FL-21	1.2167704884019934
FL-22	3.4340622822332247
FL-23	2.9687926575655625
FL-24	4.3280989207020415
FL-25	3.7858147424723176
FL-27	2.145331922749413
FL-3	1.5106825231048702
FL-5	1.0033235706492887
FL-6	2.094205864768831
FL-7	0.5758647513341497
FL-8	1.2986345005091247
FL-9	0.845757267798458
H115-2	0.8269340166530657
H124-2	0.8555243279493498
H128	0.47204585669550037
H130-2	0.9331642699833451
H134-2	0.5993328232958066
H146-2	0.5993328232958066
H164-2	0.5793478091887283
H174-4	2.183652847737311
H176-4	0.697590104525367
H183-4	0.6402429520209574
H184-4	1.0374354233206673
H194-2	1.2677056017154489
H200-4	1.81346967291898
H218-2	0.8367874390502714
H220-4	2.229321956312941
H224-4	1.3275752078973095
H225-4	1.1612568954994225
H226-4	1.329211635025997
H227-4	2.550516712496489
H45-1	0.5785373266494918
H49	1.2622398885081099
H50-1	4.040561299747635
L12-3	0.8799543313551661
L15-1	2.224753441310874
L23-2	0.5758647513341497
L23-3	0.8846851038569246
